time,X_value,Y_value,Z_value
Started:,Dec 05 2019,18:01:05:811, 
6.4872,-5.94455,-4.56555,6.21508
6.4949,-5.90026,-4.53323,6.16361
6.5056,-5.85477,-4.50689,6.20191
6.5543,-5.85716,-4.50569,6.16959
6.5543,-5.85956,-4.47577,6.12650
6.5707,-5.88829,-4.48175,6.15403
6.6040,-5.96849,-4.50928,6.18515
6.6256,-5.95652,-4.49851,6.17438
6.6257,-5.94694,-4.45901,6.13368
6.6540,-5.88829,-4.42190,6.13129
6.6850,-5.83083,-4.37043,6.16480
6.6850,-5.85237,-4.37162,6.20431
6.7450,-5.93138,-4.40035,6.21747
6.7450,-5.92300,-4.39796,6.24501
6.7450,-5.91223,-4.38000,6.24261
6.8056,-5.91582,-4.35127,6.27014
6.8056,-5.93138,-4.34290,6.28930
6.8056,-5.95293,-4.35247,6.29528
6.8278,-5.97926,-4.42190,6.32162
6.8572,-6.01517,-4.44584,6.31683
6.8650,-6.08819,-4.45422,6.33359
6.8930,-6.02236,-4.39796,6.37070
6.9041,-5.97687,-4.42310,6.37309
6.9230,-5.93737,-4.43626,6.41259
6.9511,-5.90385,-4.44943,6.44132
6.9613,-5.88709,-4.42549,6.42456
6.9844,-5.82963,-4.41592,6.43893
7.0009,-5.77696,-4.40035,6.43055
7.0278,-5.74584,-4.41113,6.44491
7.0403,-5.79851,-4.46859,6.39224
7.0903,-5.83681,-4.48056,6.36112
7.0903,-5.83202,-4.50091,6.34197
7.1016,-5.84160,-4.48894,6.35753
7.1584,-5.79252,-4.47936,6.30007
7.1594,-5.77696,-4.45781,6.21628
7.1594,-5.83562,-4.49971,6.22466
7.2041,-5.80928,-4.52485,6.24142
7.2042,-5.87153,-4.51886,6.21388
7.2203,-5.81287,-4.47696,6.15164
7.2532,-5.74225,-4.44225,6.17917
7.2787,-5.70753,-4.42070,6.16600
7.2787,-5.73267,-4.43986,6.14924
7.3042,-5.80808,-4.48534,6.18156
7.3388,-5.80689,-4.48534,6.16840
7.3388,-5.79252,-4.46739,6.15044
7.3613,-5.79492,-4.44824,6.17797
7.3983,-5.85836,-4.46859,6.23184
7.3983,-5.98884,-4.60146,6.30845
7.4296,-5.96250,-4.61223,6.31204
7.4555,-5.90864,-4.61223,6.30606
7.4555,-5.90744,-4.56435,6.27493
7.4865,-5.82604,-4.52245,6.27972
7.5036,-5.73147,-4.43746,6.27493
7.5165,-5.76499,-4.45781,6.32760
7.5577,-5.72668,-4.45183,6.30606
7.5620,-5.61177,-4.41711,6.23663
7.5798,-5.58424,-4.31536,6.27254
7.6032,-5.61536,-4.22678,6.35753
7.6246,-5.66923,-4.21002,6.38386
7.6355,-5.69077,-4.22678,6.40062
7.6971,-5.72668,-4.26868,6.41499
7.6972,-5.69556,-4.25551,6.52751
7.6972,-5.92300,-4.40873,6.69390
7.7559,-6.12291,-4.52006,6.63524
7.7560,-6.21388,-4.54879,6.58377
7.7560,-6.17917,-4.53682,6.57898
7.8019,-5.93856,-4.46140,6.49639
7.8019,-5.73028,-4.29382,6.37788
7.8127,-5.75422,-4.25791,6.42576
7.8536,-5.75182,-4.28783,6.34436
7.8536,-5.63331,-4.29023,6.25458
7.8729,-5.53157,-4.20164,6.10615
7.8946,-5.48608,-4.18967,6.07503
7.9322,-5.53157,-4.28903,6.06306
7.9323,-5.51241,-4.27706,5.95412
7.9566,-5.57825,-4.43028,5.92659
7.9911,-5.53276,-4.59308,5.97806
7.9911,-5.46214,-4.72954,5.96969
8.0202,-5.53396,-4.80017,5.82963
8.0573,-5.56389,-4.94621,6.01038
8.0573,-5.62972,-5.21674,6.23064
8.0902,-5.64768,-5.38672,6.21867
8.0945,-5.67521,-5.42144,6.04869
8.1121,-5.61177,-5.35799,5.98046
8.1545,-5.53396,-5.49446,6.51075
8.1545,-5.48249,-5.61177,6.82917
8.1693,-5.43820,-5.52438,6.70228
8.2041,-5.31849,-5.21914,6.22705
8.2206,-5.15689,-5.24427,5.99123
8.2296,-4.83488,-5.40947,6.24142
8.2539,-4.81094,-5.28856,6.38027
8.2888,-5.11858,-5.43700,6.03433
8.2889,-4.86122,-5.49326,6.28211
8.3468,-4.71637,-5.54234,6.16720
8.3479,-5.21914,-5.50523,5.90983
8.3479,-5.28617,-5.34243,6.89500
8.4046,-4.79059,-5.33166,7.34869
8.4046,-5.38193,-5.24547,7.04344
8.4070,-5.64528,-4.99050,6.63764
8.4268,-3.77669,-4.72236,6.98359
8.4537,-4.64695,-5.18442,7.23138
8.4663,-4.85882,-4.96775,7.04703
8.4964,-5.14492,-5.25505,6.49519
8.5285,-5.92061,-5.39271,6.73939
8.5285,-5.76499,-5.10901,6.86029
8.5546,-5.53516,-4.95698,6.89141
8.5854,-5.20118,-4.83368,6.76812
8.5854,-4.98691,-4.85523,6.59095
8.6271,-5.07908,-5.09225,6.71904
8.6271,-4.85763,-5.29096,6.64362
8.6474,-4.84685,-5.26462,6.59574
8.6931,-4.84087,-5.36039,6.63285
8.6932,-4.77264,-5.52558,6.69749
8.7048,-4.70919,-5.47411,6.54666
8.7556,-4.74151,-5.53875,6.48801
8.7572,-4.60146,-5.46812,6.52272
8.7623,-4.54879,-5.35081,6.43175
8.8035,-4.69124,-5.36278,6.39224
8.8228,-4.71039,-5.28018,6.61968
8.8228,-4.60625,-5.22392,6.53110
8.8533,-4.37881,-5.30413,6.41140
8.8879,-4.25431,-5.08147,6.11453
8.8879,-4.28783,-4.91748,6.19832
8.9129,-4.60026,-4.86002,6.49040
8.9411,-4.89234,-4.77024,6.73580
8.9412,-5.17484,-4.71039,6.66996
8.9611,-5.32687,-4.74271,6.92852
9.0011,-5.39630,-4.71997,7.04942
9.0011,-5.40707,-4.67567,7.04703
9.0294,-5.34842,-4.71039,6.86627
9.0543,-5.11978,-4.69483,6.74418
9.0605,-4.97613,-4.73313,6.89022
9.0894,-5.02402,-4.61103,6.93690
9.1038,-5.32687,-4.64814,6.75495
9.1191,-5.48608,-4.49612,6.72143
9.1561,-5.57466,-4.54400,6.83635
9.1614,-5.52438,-4.52365,6.82318
9.1811,-5.23470,-4.60266,6.72383
9.2045,-5.07788,-4.81573,6.77769
9.2275,-5.02880,-4.95339,6.59335
9.2378,-5.37116,-4.80136,6.27254
9.2889,-5.00726,-5.06112,6.23304
9.2907,-4.85882,-5.12457,6.42097
9.3060,-4.81453,-5.15090,6.52871
9.3542,-4.95818,-5.04317,6.25219
9.3542,-4.71757,-5.09704,6.10495
9.3557,-4.52365,-5.10063,6.20431
9.4041,-4.56076,-4.97613,6.41020
9.4042,-5.04915,-5.18681,6.49639
9.4199,-5.38193,-5.28018,6.73340
9.4527,-5.30532,-5.25624,6.93092
9.4762,-4.99289,-5.03479,7.08893
9.4763,-4.67328,-4.91748,7.06379
9.4949,-4.66849,-4.74271,6.96922
9.5357,-4.87438,-4.92346,6.77769
9.5357,-4.74151,-4.93903,6.75495
9.5619,-4.75348,-5.06950,6.97521
9.5955,-4.54160,-5.01803,6.93331
9.5955,-4.40993,-4.89833,6.86268
9.6238,-4.40873,-4.87199,6.89381
9.6554,-4.44943,-4.83608,7.02548
9.6555,-4.59667,-4.90311,7.09012
9.6957,-4.65293,-4.94621,7.19187
9.6957,-4.82291,-5.03718,7.27686
9.7140,-4.92586,-5.11140,7.14519
9.7533,-4.83129,-5.04437,7.11526
9.7533,-4.69962,-5.13055,7.00633
9.7724,-4.61223,-4.95938,7.08893
9.8015,-4.79777,-5.23230,6.89860
9.8222,-4.60146,-5.20477,7.04583
9.8322,-4.54041,-5.24068,6.79804
9.8550,-4.40993,-5.23111,6.72502
9.8909,-4.34170,-5.34243,6.65440
9.8910,-4.43507,-5.31729,6.66158
9.9501,-4.46021,-5.42144,6.60173
9.9515,-4.58470,-5.40228,6.71186
9.9515,-4.60505,-5.52558,6.55145
10.0021,-4.59068,-5.54354,6.38267
10.0021,-4.46859,-5.49805,6.49399
10.0077,-4.32614,-5.49805,6.61849
10.0533,-4.32853,-5.47291,6.70707
10.0533,-4.49492,-5.36996,6.77171
10.0716,-4.66610,-5.34961,6.73699
10.0990,-4.73672,-5.33046,6.72742
10.1295,-4.73672,-5.28976,6.73819
10.1295,-4.65892,-5.28856,6.80044
10.1534,-4.60026,-5.31610,6.73460
10.1881,-4.43387,-5.23111,6.60771
10.1881,-4.42789,-5.25026,6.57779
10.2297,-4.46859,-5.25265,6.52990
10.2298,-4.56794,-5.27540,6.54547
10.2481,-4.64216,-5.30772,6.58976
10.2874,-4.67328,-5.34123,6.65440
10.2945,-4.66849,-5.39271,6.67834
10.3054,-4.70560,-5.36278,6.67116
10.3550,-4.60984,-5.32088,6.55744
10.3569,-4.48295,-5.29575,6.58018
10.3801,-4.33452,-5.28856,6.61968
10.4040,-4.39078,-5.27779,6.68672
10.4256,-4.27107,-5.15809,6.90937
